Anime Title,entry_id,entry_type,english_name,japanese_name,tmdb_id,anilist_id,Avg. Words/Episode,Unique Words,Kanji Difficulty (1-100),Vocab Difficulty (1-100),Overall Difficulty (1-100),Vocab Density (%),poster_url,episodes,status,genres,start_year,average_score,anilist_img_filename,anilist_status,tmdb_img_filename
Fate∕kaleid liner Prisma☆Illya 2wei Herz!,5794.0,anime_tv,Fate/kaleid liner Prisma☆Illya 2wei! Herz!,Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！,,20845.0,633,1900,27.0,13.2,20.1,4.24,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20845-4iTgYkjPsUYh.png,10.0,FINISHED,"Action, Comedy, Ecchi, Fantasy, Mahou Shoujo",2015.0,69.0,bx20845-4iTgYkjPsUYh.png,downloaded,
Mushoku Tensei. Isekai Ittara Honki Dasu,1426.0,anime_tv,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,,108465.0,507,1838,31.9,13.3,22.6,4.28,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx108465-1ANspF1EWyFx.jpg,11.0,FINISHED,"Adventure, Drama, Ecchi, Fantasy",2021.0,82.0,bx108465-1ANspF1EWyFx.jpg,downloaded,
Nogizaka Haruka No Himitsu,915.0,anime_tv,Haruka Nogizaka's Secret,乃木坂春香の秘密,,3467.0,468,1685,22.9,11.9,17.4,3.86,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx3467-gOLRgPv8F2BT.jpg,12.0,FINISHED,"Comedy, Ecchi, Romance",2008.0,68.0,bx3467-gOLRgPv8F2BT.jpg,downloaded,
Shiromeshi Shugyo So,3775.0,drama_tv,,しろめし修行僧,tv:158457,,541,1556,25.4,15.3,20.3,4.85,https://image.tmdb.org/t/p/w500/hRVwaW57cGJuGjSZSG3s37jXeyX.jpg,12.0,RELEASING,"Comedy, Drama",2022.0,,,not_anilist,hRVwaW57cGJuGjSZSG3s37jXeyX.jpg
Gohoubi Gohan,4700.0,drama_tv,Reward Rice,ごほうびごはん,tv:135148,,506,1509,28.6,11.8,20.2,3.83,https://image.tmdb.org/t/p/w500/rs2IIU7NE8iNq6ZHgA1llbmM0Cv.jpg,12.0,FINISHED,Drama,2021.0,70.0,,not_anilist,rs2IIU7NE8iNq6ZHgA1llbmM0Cv.jpg
Cardfight!! Vanguard. Divinez - Deluxe-hen,8497.0,anime_tv,,ヴァンガード Divinez デラックス編,,182920.0,521,1865,14.5,13.5,14.0,4.34,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx182920-kGMtP4dBBJBO.jpg,13.0,FINISHED,"Action, Adventure, Fantasy",2025.0,66.0,bx182920-kGMtP4dBBJBO.jpg,downloaded,
Hataraku Maou-sama!,2171.0,anime_tv,The Devil is a Part-Timer!,はたらく魔王さま!,,15809.0,689,2991,36.7,13.5,25.1,4.34,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx15809-ECv3HyOYJKrk.jpg,13.0,FINISHED,"Comedy, Fantasy, Romance, Slice of Life",2013.0,75.0,bx15809-ECv3HyOYJKrk.jpg,downloaded,
Hosakan,6577.0,drama_tv,Chief of Staff,補佐官,tv:89642,,1410,2971,53.5,15.8,34.7,5.01,https://image.tmdb.org/t/p/w500/95U7TJGxDP6OHeAF5HP78as7eff.jpg,20.0,FINISHED,"Drama, War & Politics",2019.0,,,not_anilist,95U7TJGxDP6OHeAF5HP78as7eff.jpg
Witch Watch,9409.0,anime_tv,WITCH WATCH,ウィッチウォッチ,,180367.0,729,4564,26.8,13.3,20.1,4.27,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180367-GlRuB2lG7Kaa.jpg,25.0,FINISHED,"Comedy, Drama, Fantasy, Romance, Slice of Life, Supernatural",2025.0,72.0,bx180367-GlRuB2lG7Kaa.jpg,downloaded,
Kuroko no Basket 3rd SEASON,5761.0,anime_tv,Kuroko's Basketball 3,黒子のバスケ 3rd SEASON,,20725.0,472,2737,29.5,12.4,21.0,4.02,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20725-DLu8VlkGFQKc.png,25.0,FINISHED,"Comedy, Sports",2015.0,81.0,bx20725-DLu8VlkGFQKc.png,downloaded,
