Anime Title,entry_id,entry_type,english_name,japanese_name,tmdb_id,anilist_id,Avg. Words/Episode,Unique Words,Kanji Difficulty (1-100),Vocab Difficulty (1-100),Overall Difficulty (1-100),Vocab Density (%),poster_url,episodes,status,genres,start_year,average_score,anilist_img_filename,anilist_status,tmdb_img_filename
Hikari,9339.0,drama_movie,Radiance,光,movie:444428,,1099,485,20.9,6.4,13.6,2.27,https://image.tmdb.org/t/p/w500/l7fR2WW7mnXl0nrZSHeCBxbljeH.jpg,1.0,FINISHED,"Romance, Drama",2017.0,,,not_anilist,l7fR2WW7mnXl0nrZSHeCBxbljeH.jpg
366 Days (2025),10455.0,drama_movie,366 Days (2025),366⽇ (2025),movie:1404326,,1687,514,23.3,7.6,15.5,2.61,https://image.tmdb.org/t/p/w500/z0JoH1WAcLMVo6ok64dhz0ptA92.jpg,1.0,FINISHED,"Drama, Romance",2025.0,,,not_anilist,z0JoH1WAcLMVo6ok64dhz0ptA92.jpg
Dragon Ball Super. Super Hero,1235.0,anime_movie,Dragon Ball Super: SUPER HERO,ドラゴンボール超 スーパーヒーロー,,133898.0,2044,887,24.0,6.8,15.4,2.38,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx133898-KdQ7fWTG06n4.png,1.0,FINISHED,"Action, Adventure, Fantasy, Sci-Fi",2022.0,76.0,bx133898-KdQ7fWTG06n4.png,downloaded,
Otoko wa Tsurai yo. Boku no Oji-san,7974.0,drama_movie,"Tora-san, My Uncle",男はつらいよ　ぼくの伯父さん,movie:319637,,2457,793,27.0,7.1,17.1,2.48,https://image.tmdb.org/t/p/w500/4sYFPLkJSfM3k4GyxI8Q0zV0Jgw.jpg,1.0,FINISHED,Comedy,1989.0,,,not_anilist,4sYFPLkJSfM3k4GyxI8Q0zV0Jgw.jpg
Chanomi Tomodachi,10719.0,drama_movie,Tea Friends,茶飲友達,movie:1077039,,1539,686,27.2,7.1,17.1,2.47,https://image.tmdb.org/t/p/w500/sBHhvmQOicUFuJIBOR95QcSBkLB.jpg,1.0,FINISHED,Drama,2023.0,,,not_anilist,sBHhvmQOicUFuJIBOR95QcSBkLB.jpg
Aokute Itakute Moroi,8226.0,drama_movie,"Blue, Painful, Fragile",青くて痛くて脆い,movie:698208,,2072,703,28.4,5.9,17.1,2.12,https://image.tmdb.org/t/p/w500/fXvfvOJUDi2gYhOmCVfGQaQZpyq.jpg,1.0,FINISHED,"Adventure, Drama",2020.0,,,not_anilist,fXvfvOJUDi2gYhOmCVfGQaQZpyq.jpg
Furin Junai,8865.0,drama_movie,Love and Treachery,不倫純愛,movie:338372,,727,374,29.1,6.2,17.6,2.2,https://image.tmdb.org/t/p/w500/m5E6su9G5spqoiDbSRI8JzuhHho.jpg,1.0,FINISHED,"Romance, Drama, Mystery",2011.0,,,not_anilist,m5E6su9G5spqoiDbSRI8JzuhHho.jpg
Hula Fulla Dance,2044.0,anime_movie,Hula Fulla Dance,フラ・フラダンス,,125841.0,1650,740,29.0,5.6,17.3,2.03,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b125841-AjrL6uLZrv1g.png,1.0,FINISHED,"Comedy, Drama, Music, Slice of Life, Sports",2021.0,59.0,b125841-AjrL6uLZrv1g.png,downloaded,
Hikikomori Sensei,4629.0,drama_tv,Shut-in Teacher,ひきこもり先生,tv:124294,,835,1334,29.6,7.7,18.7,2.63,https://image.tmdb.org/t/p/w500/15XdN2GPavNZW8C0f3D9Q0czgI1.jpg,7.0,FINISHED,Drama,2021.0,,,not_anilist,15XdN2GPavNZW8C0f3D9Q0czgI1.jpg
Isu,10288.0,drama_tv,Chair,椅子,tv:194489,,411,929,30.1,7.0,18.5,2.43,https://image.tmdb.org/t/p/w500/2TONoI4YKGRkbUUdCO3elfwBjf1.jpg,8.0,FINISHED,Drama,2022.0,70.0,,not_anilist,2TONoI4YKGRkbUUdCO3elfwBjf1.jpg
Fuyu no Sakura,2367.0,drama_tv,Winter Sakura,冬のサクラ,tv:83500,,762,1203,29.9,6.4,18.1,2.26,https://image.tmdb.org/t/p/w500/hIP6bT356Vn2wA4smYnWpyLmBcU.jpg,9.0,FINISHED,"Drama, Family",2011.0,,,not_anilist,hIP6bT356Vn2wA4smYnWpyLmBcU.jpg
"Sawako. Sore Wa, Hatenaki Fukushuu",6460.0,drama_tv,Sawako: It's Endless Revenge,サワコ ～それは、果てなき復讐,tv:209185,,583,1281,24.4,7.5,16.0,2.59,https://image.tmdb.org/t/p/w500/y6rsKDtA7N9RIO6jPeRMW54mZ7n.jpg,10.0,FINISHED,Drama,2022.0,,,not_anilist,y6rsKDtA7N9RIO6jPeRMW54mZ7n.jpg
Slow Dance,4882.0,drama_tv,Slow Dance,スローダンス,tv:86982,,2115,3194,33.4,7.0,20.2,2.44,https://image.tmdb.org/t/p/w500/2te7xC7XdIhtyKdsdm6IDFQCzMg.jpg,11.0,FINISHED,Drama,2005.0,70.0,,not_anilist,2te7xC7XdIhtyKdsdm6IDFQCzMg.jpg
Ame to Kimi to,9835.0,anime_tv,With You and the Rain,雨と君と,,180425.0,278,1055,20.6,7.7,14.2,2.66,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180425-e5yNWog1hDuu.jpg,12.0,FINISHED,"Comedy, Slice of Life",2025.0,73.0,bx180425-e5yNWog1hDuu.jpg,downloaded,
Seiren,1634.0,anime_tv,Seiren,セイレン,,97730.0,617,1899,36.3,7.6,21.9,2.62,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97730-AmHt9ItmSeNb.jpg,12.0,FINISHED,Romance,2017.0,59.0,bx97730-AmHt9ItmSeNb.jpg,downloaded,
2.5 Jigen no Ririsa,6110.0,anime_tv,2.5 Dimensional Seduction,2.5次元の誘惑,,158559.0,607,2804,27.2,6.4,16.8,2.26,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx158559-yCnnnedsSCie.jpg,24.0,FINISHED,"Comedy, Ecchi, Romance, Slice of Life",2024.0,72.0,bx158559-yCnnnedsSCie.jpg,downloaded,
Keishicho Sosa Shiryo Kanrishitsu,5577.0,drama_tv,Metropolitan Police Department Investigative Materials Management Office,警視庁捜査資料管理室,,,1462,569,41.0,8.0,24.5,2.74,,,,,,,,not_anilist,
Tonari no Totoro,764.0,anime_movie,My Neighbor Totoro,となりのトトロ,,523.0,792,508,17.6,10.5,14.0,3.46,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx523-fErBvxOHP7IX.jpg,1.0,FINISHED,"Adventure, Fantasy, Slice of Life, Supernatural",1988.0,80.0,bx523-fErBvxOHP7IX.jpg,downloaded,
6-nen Ai,7906.0,drama_movie,6 Years,6年愛,movie:323674,,1083,470,22.2,9.4,15.8,3.14,https://image.tmdb.org/t/p/w500/dE9kVpWI2F5jI8LGWby5t7iFwXe.jpg,1.0,FINISHED,"Romance, Drama",2015.0,,,not_anilist,dE9kVpWI2F5jI8LGWby5t7iFwXe.jpg
Nagisa,7007.0,drama_movie,Nagisa,なぎさ,movie:374752,,1103,523,22.7,9.5,16.1,3.17,https://image.tmdb.org/t/p/w500/sHGBO8M1VpRM6ELjAhQmTeiOoCU.jpg,1.0,FINISHED,"Romance, Drama",2000.0,,,not_anilist,sHGBO8M1VpRM6ELjAhQmTeiOoCU.jpg
Sweet & Sour,4769.0,drama_movie,Sweet & Sour,,movie:662237,,1390,586,24.8,9.5,17.2,3.17,https://image.tmdb.org/t/p/w500/3yGwAPl6LWpi8QwHjwCMaqsPgNB.jpg,1.0,FINISHED,"Drama, Romance, Comedy",2021.0,,,not_anilist,3yGwAPl6LWpi8QwHjwCMaqsPgNB.jpg
Otoko wa Tsurai yo. Shiawase no Aoi Tori,7988.0,drama_movie,Tora-san's Bluebird Fantasy,男はつらいよ 幸福の青い鳥,movie:417858,,2337,841,27.1,10.2,18.7,3.38,https://image.tmdb.org/t/p/w500/2O7vNW7pCEcD3llUIBHKmToUqTY.jpg,1.0,FINISHED,Comedy,1986.0,,,not_anilist,2O7vNW7pCEcD3llUIBHKmToUqTY.jpg
Nurse no Oshigoto. The Movie,8917.0,drama_movie,Leave It to the Nurses: The Movie,ナースのお仕事 ザ・ムービー,movie:364727,,2020,646,31.1,11.0,21.0,3.61,https://image.tmdb.org/t/p/w500/qtOCoquulaphZDq5VQUjtwwlVsB.jpg,1.0,FINISHED,Comedy,2002.0,,,not_anilist,qtOCoquulaphZDq5VQUjtwwlVsB.jpg
Shimura Ken to Dorifu no Dai Bakusho Monogatari,5668.0,drama_movie,Shimura Ken and Drif's Laughter Story,志村けんとドリフの大爆笑物語,movie:916428,,2211,771,30.9,10.4,20.7,3.44,https://image.tmdb.org/t/p/w500/qwtA8MXeRI7uz1kyUp1WkOt7Cy6.jpg,1.0,FINISHED,,2021.0,70.0,,not_anilist,qwtA8MXeRI7uz1kyUp1WkOt7Cy6.jpg
Kioku ni Gozaimasen!,8194.0,drama_movie,Hit Me Anyone One More Time,記憶にございません！,movie:636021,,3028,1081,37.0,9.8,23.4,3.27,https://image.tmdb.org/t/p/w500/g835q6bnAAtz0Qm1lQHG5lPCIUs.jpg,1.0,FINISHED,"Comedy, Drama",2019.0,,,not_anilist,g835q6bnAAtz0Qm1lQHG5lPCIUs.jpg
Kacho Shima Kosaku,10603.0,drama_tv,,課長島耕作,tv:197213,,1890,2013,37.6,10.2,23.9,3.39,https://image.tmdb.org/t/p/w500/ydaXxlPMhXkBEWL3rQkXnU0EkM2.jpg,1.0,RELEASING,,1993.0,,,not_anilist,ydaXxlPMhXkBEWL3rQkXnU0EkM2.jpg
Hakugin Jack,5130.0,drama_movie,Snow Jack,白銀ジャック,movie:359184,,2298,778,42.2,8.0,25.1,2.74,https://image.tmdb.org/t/p/w500/s7fvu7HcU7h6TZ4U2Rtw5Y25Rg9.jpg,1.0,FINISHED,,2014.0,,,not_anilist,s7fvu7HcU7h6TZ4U2Rtw5Y25Rg9.jpg
Paddington Hatsu 4-ji 50-pun. Shindai Tokkyuu Satsujin Jiken,5416.0,drama_movie,4.50 from Paddington,パディントン発4時50分～寝台特急殺人事件～,movie:516306,,2219,854,42.8,9.1,26.0,3.06,https://image.tmdb.org/t/p/w500/nbUYGIbifs9jAtNbbSoNMGKr3n5.jpg,1.0,FINISHED,"Mystery, Crime, TV Movie",2018.0,,,not_anilist,nbUYGIbifs9jAtNbbSoNMGKr3n5.jpg
Jiten Shinagara Koten Suru,6940.0,drama_tv,Spinning Around My Whirl,自転しながら公転する,tv:239789,,1056,739,22.8,9.7,16.2,3.22,https://image.tmdb.org/t/p/w500/ioOnzMoTvryUdfhkLjoBBIh7iRQ.jpg,3.0,FINISHED,,2023.0,,,not_anilist,ioOnzMoTvryUdfhkLjoBBIh7iRQ.jpg
Monroe ga Shinda hi,4265.0,drama_tv,The Day Monroe Died,モンローが死んだ日,tv:110215,,788,1146,50.0,11.1,30.6,3.65,https://image.tmdb.org/t/p/w500/bPNJwdboN7D5kMwl7kqTLlkVNGP.jpg,4.0,FINISHED,Mystery,2019.0,70.0,,not_anilist,bPNJwdboN7D5kMwl7kqTLlkVNGP.jpg
The Royal Family,10710.0,drama_tv,The Royal Family,ザ・ロイヤルファミリー,tv:297517,,1575,1370,35.3,9.9,22.6,3.28,https://image.tmdb.org/t/p/w500/mrwM3t0htYTSxSLf5UgYHlaSdjo.jpg,5.0,RELEASING,Drama,2025.0,,,not_anilist,mrwM3t0htYTSxSLf5UgYHlaSdjo.jpg
Renai Rubi no Tadashii Furikata,10154.0,drama_tv,The Proper Way to Write Love,恋愛ルビの正しいふりかた,tv:293581,,305,522,17.9,7.1,12.5,2.46,https://image.tmdb.org/t/p/w500/4XZhrn6K2s7LCBUa9edeF9wgn8v.jpg,8.0,FINISHED,"Drama, Comedy",2025.0,,,not_anilist,4XZhrn6K2s7LCBUa9edeF9wgn8v.jpg
"Hayako Sensei, Kekkon Surutte Hontou Desu ka",3264.0,drama_tv,The Single Teacher Miss Hayako,早子先生、結婚するって本当ですか？,tv:84411,,1061,1865,29.1,9.6,19.3,3.2,https://image.tmdb.org/t/p/w500/gS6PPcFUbI13KcqgTN99khCn7oG.jpg,9.0,FINISHED,Drama,2016.0,60.0,,not_anilist,gS6PPcFUbI13KcqgTN99khCn7oG.jpg
Suki Suki Wan Wan!,6484.0,drama_tv,,すきすきワンワン！,tv:216727,,464,1301,16.8,9.1,13.0,3.06,https://image.tmdb.org/t/p/w500/wlAHyb5GloiVEwNbKz2DVf45ysM.jpg,10.0,FINISHED,"Drama, Comedy",2023.0,80.0,,not_anilist,wlAHyb5GloiVEwNbKz2DVf45ysM.jpg
Asakusa Last boss Obaa-chan,10083.0,drama_tv,Asakusa Last boss Oba-chan,浅草ラスボスおばあちゃん,tv:294215,,1089,1489,41.1,11.1,26.1,3.64,https://image.tmdb.org/t/p/w500/1MJeKOmcRxj3Rxqb29gl8usSczf.jpg,11.0,RELEASING,,2025.0,,,not_anilist,1MJeKOmcRxj3Rxqb29gl8usSczf.jpg
Do It Yourself!!,1704.0,anime_tv,Do It Yourself!!,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,,131516.0,396,1366,24.8,10.8,17.8,3.55,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx131516-kLB37ISBeOX0.jpg,12.0,FINISHED,Slice of Life,2022.0,74.0,bx131516-kLB37ISBeOX0.jpg,downloaded,
Undercover High School,9406.0,drama_tv,Undercover High School,Undercover High School,tv:248244,,1451,2841,44.1,10.0,27.1,3.32,https://image.tmdb.org/t/p/w500/qLWqaHiJpUbtlUKVxRneWBnTKTd.jpg,12.0,FINISHED,"Action & Adventure, Comedy, Drama",2025.0,80.0,,not_anilist,qLWqaHiJpUbtlUKVxRneWBnTKTd.jpg
Lycoris Recoil,399.0,anime_tv,Lycoris Recoil,リコリス・リコイル,,143270.0,532,2110,28.4,10.0,19.2,3.3,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx143270-rfkyiYXhek5w.jpg,13.0,FINISHED,"Action, Slice of Life",2022.0,81.0,bx143270-rfkyiYXhek5w.jpg,downloaded,
Keiji Yoshinaga Seiichi Namida no Jikenbo,2637.0,drama_tv,Keiji Yoshinaga Seiichi Namida no Jikenbo,刑事吉永誠一 涙の事件簿,tv:58159,,1433,3715,42.2,10.7,26.4,3.51,https://image.tmdb.org/t/p/w500/xYUvUB6WdFE9DtJR0Xt7pbjqYFS.jpg,13.0,RELEASING,Drama,2013.0,,,not_anilist,xYUvUB6WdFE9DtJR0Xt7pbjqYFS.jpg
Zenra Kantoku,7919.0,drama_tv,The Naked Director,全裸監督,tv:90955,,845,3030,28.1,9.6,18.8,3.21,https://image.tmdb.org/t/p/w500/nbeRva0jrmJAvRflXAe89CbD3Kg.jpg,16.0,FINISHED,"Comedy, Drama",2019.0,,,not_anilist,nbeRva0jrmJAvRflXAe89CbD3Kg.jpg
Hana Yori Dango. Boys Over Flowers (2009),8593.0,drama_tv,Boys Over Flowers (2009),花より男子 ～Boys Over Flowers (2009),tv:16420,,571,3020,26.4,9.5,17.9,3.17,https://image.tmdb.org/t/p/w500/keQx2lpwTgvd7CjYXzAblFXWxB7.jpg,25.0,FINISHED,"Comedy, Drama",2009.0,,,not_anilist,keQx2lpwTgvd7CjYXzAblFXWxB7.jpg
Kamen Rider Revice,273.0,drama_tv,Kamen Rider Revice,仮面ライダーリバイス,tv:262125,,368,3279,28.5,9.2,18.8,3.08,https://image.tmdb.org/t/p/w500/zhl1UCIkIxyp38LpVZcuzyW8OWs.jpg,50.0,FINISHED,"Action & Adventure, Drama, Kids, Sci-Fi & Fantasy, Mystery",2021.0,,,not_anilist,zhl1UCIkIxyp38LpVZcuzyW8OWs.jpg
Other,2130.0,drama_tv,,,,,534,3361,35.0,8.3,21.6,2.81,,,,,,,,not_anilist,
Sakana no Ko,6948.0,drama_movie,The Fish Tale,さかなのこ,movie:952438,,1579,523,19.6,10.1,14.9,3.36,https://image.tmdb.org/t/p/w500/r3VejLH7ub2meFDYZUHbHOeU0up.jpg,1.0,FINISHED,"Drama, Comedy",2022.0,,,not_anilist,r3VejLH7ub2meFDYZUHbHOeU0up.jpg
Nihon Touitsu Gaiden. Tamura Yuuto 2,8828.0,drama_movie,Unification of Japan Gaiden: Tamura Yuto 2,日本統一外伝　田村悠人2,movie:1309165,,1067,466,25.7,13.7,19.7,4.4,https://image.tmdb.org/t/p/w500/vrsOtUWIpQ0fWytYYJs2yt7S7RG.jpg,1.0,FINISHED,"Crime, Drama",2021.0,,,not_anilist,vrsOtUWIpQ0fWytYYJs2yt7S7RG.jpg
Himawari to Koinu no Nanokakan,8816.0,drama_movie,7 Days of Himawari & Her Puppies,ひまわりと子犬の7日間,movie:223391,,2064,659,25.8,13.4,19.6,4.31,https://image.tmdb.org/t/p/w500/9rSJaSUEQbiMEcr9zNWo0SQPUEK.jpg,1.0,FINISHED,Drama,2013.0,,,not_anilist,9rSJaSUEQbiMEcr9zNWo0SQPUEK.jpg
Saber + Zenkaiger. Super Hero Senki,10818.0,drama_movie,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Chronicles,セイバー＋ゼンカイジャー スーパーヒーロー戦記,movie:826708,,1304,551,30.2,13.1,21.7,4.22,https://image.tmdb.org/t/p/w500/tyIBW4AUvACoJwuFZm14e7aptK9.jpg,1.0,FINISHED,"Action, Science Fiction, Adventure",2021.0,60.0,,not_anilist,tyIBW4AUvACoJwuFZm14e7aptK9.jpg
Ashi ni Sawatta Onna,9404.0,drama_movie,The Woman Who Touched the Legs,足にさわった女,movie:581106,,2591,934,33.2,12.7,22.9,4.09,https://image.tmdb.org/t/p/w500/1xmrYgnmZAtDLChZMxk2kyePqaA.jpg,1.0,FINISHED,Comedy,1952.0,,,not_anilist,1xmrYgnmZAtDLChZMxk2kyePqaA.jpg
Aishuu no Yoru,9794.0,drama_movie,Night of Sorrow,哀愁の夜,movie:998439,,1872,764,36.9,13.7,25.3,4.38,https://image.tmdb.org/t/p/w500/ujihMWTszGBA1a9pPlniTbQnCoe.jpg,1.0,FINISHED,"Drama, Romance",1966.0,,,not_anilist,ujihMWTszGBA1a9pPlniTbQnCoe.jpg
Dear Family,9263.0,drama_movie,Dear Family,ディア・ファミリー,movie:1279294,,1891,696,38.0,8.6,23.3,2.91,https://image.tmdb.org/t/p/w500/6TiD1JCaAuISwadMsRhnvLQYmJl.jpg,1.0,FINISHED,"Drama, Family",2024.0,80.0,,not_anilist,6TiD1JCaAuISwadMsRhnvLQYmJl.jpg
Air Hostess,6504.0,drama_movie,Air Hostess,,movie:157222,,2006,737,41.0,7.3,24.2,2.54,https://image.tmdb.org/t/p/w500/bgDsWER234YSeDcV56wyWYrbJfA.jpg,1.0,FINISHED,"Romance, Music",1959.0,,,not_anilist,bgDsWER234YSeDcV56wyWYrbJfA.jpg
Wagaya no Mondai,4157.0,drama_tv,My Family's Problem,我が家の問題,tv:120225,,1019,1519,47.0,13.3,30.1,4.27,https://image.tmdb.org/t/p/w500/jaQNoO7BcOf68WIKWL1SHoDKKgh.jpg,5.0,RELEASING,"Drama, Family",2018.0,,,not_anilist,jaQNoO7BcOf68WIKWL1SHoDKKgh.jpg
Legal V,4228.0,drama_tv,Legal V,リーガルV～元弁護士・小鳥遊翔子～,tv:83274,,1546,3166,55.3,12.9,34.1,4.17,https://image.tmdb.org/t/p/w500/td7tNw83jkhgxf1mfe0HE6MEFt7.jpg,9.0,FINISHED,"Drama, Comedy",2018.0,,,not_anilist,td7tNw83jkhgxf1mfe0HE6MEFt7.jpg
Kami no Shita wo Motsu Otoko,3301.0,drama_tv,The Man with God's Tongue,神の舌を持つ男,tv:91501,,1176,2119,43.6,14.3,29.0,4.58,https://image.tmdb.org/t/p/w500/2Crmjq8qI6lhQ4NTm5F3i5Nq3v7.jpg,10.0,RELEASING,Comedy,2016.0,70.0,,not_anilist,2Crmjq8qI6lhQ4NTm5F3i5Nq3v7.jpg
Dandadan,7618.0,anime_tv,DAN DA DAN,ダンダダン,,171018.0,510,2012,22.0,12.9,17.5,4.17,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx171018-60q1B6GK2Ghb.jpg,12.0,FINISHED,"Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",2024.0,84.0,bx171018-60q1B6GK2Ghb.jpg,downloaded,
Yuru Camp△,681.0,anime_tv,Laid-Back Camp,ゆるキャン△,,98444.0,381,1752,25.9,14.1,20.0,4.5,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98444-Vzysp1EsrzgD.jpg,12.0,FINISHED,"Comedy, Slice of Life",2018.0,81.0,bx98444-Vzysp1EsrzgD.jpg,downloaded,
Rock wa Lady no Tashinami Deshite,9378.0,anime_tv,Rock is a Lady’s Modesty,ロックは淑女の嗜みでして,,179694.0,519,1955,29.6,13.3,21.4,4.28,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179694-7zhc0T6IImor.jpg,13.0,FINISHED,"Drama, Music",2025.0,77.0,bx179694-7zhc0T6IImor.jpg,downloaded,
BG. Shinpen Keigonin,4141.0,drama_tv,BG: Personal Bodyguard,BG〜身辺警護人〜,tv:77271,,1147,3569,42.0,9.7,25.9,3.23,https://image.tmdb.org/t/p/w500/va21D8IVfXQbEWGcuVG4Ea9MeMe.jpg,16.0,FINISHED,"Crime, Drama, Mystery",2018.0,,,not_anilist,va21D8IVfXQbEWGcuVG4Ea9MeMe.jpg
Doctor-Y ~Gekai Kaji Hideki~,5539.0,drama_tv,,ドクターY～外科医・加地秀樹～,tv:82765,,767,2862,36.0,14.4,25.2,4.6,https://image.tmdb.org/t/p/w500/fCSOpCWgGGfVHKNu4VA77h7Ua2F.jpg,22.0,RELEASING,Drama,2016.0,,,not_anilist,fCSOpCWgGGfVHKNu4VA77h7Ua2F.jpg
EDENS ZERO,386.0,anime_tv,EDENS ZERO,EDENS ZERO,,119683.0,456,2524,27.8,11.6,19.7,3.79,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx119683-BC4i4dF5DGNO.jpg,25.0,FINISHED,"Action, Adventure, Comedy, Fantasy, Sci-Fi",2021.0,70.0,bx119683-BC4i4dF5DGNO.jpg,downloaded,
Rokudou no Onna-tachi,,,,,,,581,1519,27.7,14.0,20.8,4.47,,,,,,,,not_anilist,
Robot Girls Z,,,,,,,470,712,28.4,12.5,20.4,4.04,,,,,,,,not_anilist,
Ai. Tabidachi,9655.0,drama_movie,Love: Starting on a Journey,愛・旅立ち,movie:423062,,1752,808,28.5,16.8,22.7,5.31,https://image.tmdb.org/t/p/w500/nYatLlygwNBJsBPtDg9kDNz1z1P.jpg,1.0,FINISHED,"Fantasy, Mystery, Romance",1985.0,,,not_anilist,nYatLlygwNBJsBPtDg9kDNz1z1P.jpg
Unification of Japan Gaiden. Nakajima Family - Shikoku Gold Mine Mayhem,9358.0,drama_movie,Unification of Japan Gaiden: Nakajima Family - Shikoku Gold Mine Mayhem,日本統一外伝 中島組　四国暴力金脈,movie:1309159,,1656,754,30.8,18.5,24.7,5.8,https://image.tmdb.org/t/p/w500/gBggPJORXwtmYVx34nXf5BjrduH.jpg,1.0,FINISHED,"Crime, Drama",2024.0,,,not_anilist,gBggPJORXwtmYVx34nXf5BjrduH.jpg
Tengen Toppa Gurren Lagann. Lagann-hen,7387.0,anime_movie,Gurren Lagann The Movie: The Lights in the Sky are Stars,天元突破グレンラガン 螺巌篇,,4565.0,2370,955,34.4,14.6,24.5,4.64,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4565-FbFYEBTJSPyr.png,1.0,FINISHED,"Action, Drama, Mecha, Romance, Sci-Fi",2009.0,85.0,bx4565-FbFYEBTJSPyr.png,downloaded,
Damashie no Kiba,8290.0,drama_movie,Kiba: The Fangs of Fiction,騙し絵の牙,movie:744714,,2810,1183,45.3,15.0,30.2,4.77,https://image.tmdb.org/t/p/w500/gXU3EtNPpdqwymfX9QVQxzQQNHP.jpg,1.0,FINISHED,Drama,2021.0,,,not_anilist,gXU3EtNPpdqwymfX9QVQxzQQNHP.jpg
Shizumanu Taiyou,9049.0,drama_movie,The Unbroken,沈まぬ太陽,movie:206719,,3767,1461,48.6,16.6,32.6,5.23,https://image.tmdb.org/t/p/w500/uIpbuPDoNOcRYRt3UDAxHoqQtAX.jpg,1.0,FINISHED,Drama,2009.0,,,not_anilist,uIpbuPDoNOcRYRt3UDAxHoqQtAX.jpg
Mikazuki,4263.0,drama_tv,Crescent Moon,みかづき,tv:110279,,1088,1576,43.6,16.9,30.3,5.32,https://image.tmdb.org/t/p/w500/7ULLMdeX8VExPhN0Ur1HagObQSX.jpg,5.0,FINISHED,"Drama, Family",2019.0,70.0,,not_anilist,7ULLMdeX8VExPhN0Ur1HagObQSX.jpg
"Operation Z. Nihon Hametsu, Mattanashi",4487.0,drama_tv,"Operation Z: Destruction of Japan, No Delay",オペレーションＺ ～日本破滅、待ったなし～,tv:110588,,1744,2465,66.4,17.7,42.0,5.55,https://image.tmdb.org/t/p/w500/8aIBODzUlvCXYxa9J83zFUDg5j4.jpg,6.0,FINISHED,Drama,2020.0,,,not_anilist,8aIBODzUlvCXYxa9J83zFUDg5j4.jpg
Hajimete no Gal,459.0,anime_tv,My First Girlfriend is a Gal,はじめてのギャル,,97863.0,482,1430,22.0,8.1,15.1,2.76,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97863-79AXrUZ7VQa5.jpg,10.0,FINISHED,"Comedy, Ecchi, Romance, Slice of Life",2017.0,59.0,bx97863-79AXrUZ7VQa5.jpg,downloaded,
GANGSTA,1042.0,anime_tv,GANGSTA.,GANGSTA.,,20773.0,471,952,25.8,18.1,21.9,6.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20773-yfJQMyHqZyJr.jpg,12.0,FINISHED,"Action, Drama",2015.0,71.0,bx20773-yfJQMyHqZyJr.jpg,downloaded,
Hidan no Aria,1278.0,anime_tv,Aria the Scarlet Ammo,緋弾のアリア,,8630.0,383,1924,33.1,13.7,23.4,4.39,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx8630-n8Ipf0NlVXjy.jpg,12.0,FINISHED,"Action, Comedy, Ecchi, Romance",2011.0,63.0,bx8630-n8Ipf0NlVXjy.jpg,downloaded,
Yu☆Gi☆Oh! Duel Monsters GX,965.0,anime_tv,Yu-Gi-Oh! GX,遊☆戯☆王デュエルモンスターズＧＸ,,482.0,481,2812,39.1,12.6,25.8,4.07,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b482-c14JwoMTmKAU.png,180.0,FINISHED,"Action, Comedy, Fantasy",2004.0,70.0,b482-c14JwoMTmKAU.png,downloaded,
Time Bokan 24,,,,,,,497,4597,33.3,13.2,23.3,4.24,,,,,,,,not_anilist,
Jouryuu Kaikyuu. Fukumaru Hyakkaten Gaishoubu,5173.0,drama_tv,,上流階級~富久丸百貨店外商部~,,,2608,966,34.9,15.6,25.2,4.95,,,,,,,,not_anilist,
Juusen Battle Monsuno,,,,,,,439,3529,36.1,9.0,22.6,3.03,,,,,,,,not_anilist,
Otoko wa Tsurai yo. Torajirou to Tonosama,8003.0,drama_movie,Tora-san Meets His Lordship,男はつらいよ 寅次郎と殿様,movie:286802,,2817,895,26.7,21.4,24.0,6.64,https://image.tmdb.org/t/p/w500/kQvY8O47CfpXKdSpxJwm6XpzGzU.jpg,1.0,FINISHED,Comedy,1977.0,,,not_anilist,kQvY8O47CfpXKdSpxJwm6XpzGzU.jpg
